customer_name,customer_phone,product_name,order_amount,order_date,delivery_date,remark
深圳腾讯科技,0755-86013388,云服务器,128000.00,2026-03-01,2026-03-15,首期部署
广州网易互娱,020-85105600,数据库服务,56000.00,2026-03-10,2026-03-25,数据迁移
深圳腾讯科技,0755-86013388,安全审计,89000.00,2026-03-15,2026-04-01,年度审计
杭州阿里巴巴,0571-85022088,云服务器,256000.00,2026-03-20,2026-04-05,扩容
上海字节跳动,021-61577800,CDN加速,45000.00,2026-04-01,2026-04-10,视频业务
广州网易互娱,020-85105600,云服务器,98000.00,2026-04-05,2026-04-20,游戏上线
北京百度在线,010-59928888,数据库服务,78000.00,2026-04-10,2026-04-25,智能搜索
深圳腾讯科技,0755-86013388,CDN加速,67000.00,2026-04-15,2026-04-28,直播业务
杭州阿里巴巴,0571-85022088,安全审计,115000.00,2026-04-20,2026-05-05,等保测评
上海字节跳动,021-61577800,云服务器,189000.00,2026-05-01,2026-05-15,海外扩展
